coefficient_name,value,constrain
coef_full_time_worker,-0.811935,F
coef_female_worker,-0.347009,F
coef_female_worker_preschool_child,0.572657,F
coef_access_to_workplaces,-0.140426,F
coef_non_working_adult_in_hh,-0.372481,F
coef_education_ba_plus,0.284678,F
coef_low_income,-0.393068,F
coef_age_lt_35,-0.573545,F
coef_age_35_to_45,0,F
coef_age_45_to_55,0.21438,F
coef_age_55_to_65,0.451657,F
coef_age_65_plus,0.583518,F
coef_Alexandria,0.9500637487867328,F
coef_AnneArundel,0.45782830222839765,F
coef_Arlington,0.7616483500639185,F
coef_Calvert,-1.8875963047861375,F
coef_Carroll,-0.3720451846101843,F
coef_Charles,-2.3456699753455332,F
coef_Clarke,-0.8371812494851658,F
coef_DC,0.12103268867943676,F
coef_Fairfax,-0.13613237603062284,F
coef_Fauquier,0.3589874199005378,F
coef_Frederick,-1.3142744288248462,F
coef_Fredericksburg,-0.4427785915673962,F
coef_Howard,-0.046511707590409734,F
coef_Jefferson,0.9918972314673584,F
coef_KingGeorge,-2.418745803174129,F
coef_Loudoun,1.0878603347587612,F
coef_Montgomery,-1.2259800155664458,F
coef_PrinceGeorges,-2.3187790863199256,F
coef_PrinceWilliam,-1.1409047416058227,F
coef_Spotsylvania,-2.1449981198229326,F
coef_StMarys,-2.0486799036896364,F
coef_Stafford,-1.2850718998877018,F
